source_id,p,p_er,theta,theta_er,q,q_er,u,u_er,Rmag,exposure,airmass,N0,N1,N2,N3,sN0,sN1,sN2,sN3,bgr0,bgr1,bgr2,bgr3,inner_aperture0,inner_aperture1,inner_aperture2,inner_aperture3,apert0,apert1,apert2,apert3
IT_1628-0142751,0.01683,0.00209,-0.3728,0.0627,0.01236,0.00206,-0.01141,0.00212,14.93,414,1.645,396546,386407,408601,397739,1175,1173,1175,1177,1190.7,1197.5,1177.3,1196.8,18.15,18.15,18.14,18.14,3.81,3.81,3.81,3.81
IT_1629-0138889,0.01443,0.0008,-0.4363,0.0277,0.00927,0.00076,-0.01105,0.00083,14.6,1300,1.418,2080837,2029205,2113293,2069866,2454,2353,2156,2317,6031.3,5363.9,4917.5,6410,16.29,16.29,14.57,14.57,3.73,3.73,3.34,3.34
IT_1626-0144685,0.01653,0.00301,-0.5036,0.0931,0.00883,0.00305,-0.01398,0.00299,15.45,699,1.26,337979,327665,330331,323830,1403,1414,1437,1387,1324.3,1358.3,1394.4,1286.5,21.7,21.7,21.8,21.8,4.43,4.43,4.45,4.45
IT_1628-0143372,0.0176,0.00209,-0.291,0.0598,0.0147,0.00205,-0.00968,0.00215,15.21,546,1.262117328,380561,372140,387140,375090,1137,1155,1054,1155,1650.2,1742.4,1459.5,1933,15.07,15.07,14.33,14.33,3.83,3.83,3.64,3.64
IT_1625-0143318,0.01789,0.00307,-0.528,0.0877,0.00881,0.00296,-0.01557,0.00311,15.66,867,1.258,331076,319952,331411,324904,1441,1423,1378,1365,1385.4,1351.7,1379.5,1352.6,21.94,21.94,20.95,20.95,3.68,3.68,3.52,3.52
IT_1625-0142952,0.01979,0.00251,-0.5229,0.0642,0.00992,0.00228,-0.01713,0.00258,14.8,201,1.333,348489,335721,357097,349307,1279,1223,1155,1128,2176.8,1959.7,2127,2012.3,15.55,15.55,13.81,13.81,3.97,3.97,3.53,3.53
IT_1623-0141175,0.02156,0.00178,-0.5066,0.0414,0.01141,0.00167,-0.01829,0.00182,14.87,390,1.254422557,560678,538889,553438,539756,1509,1315,1286,1302,2139.2,1482,1762.4,1849.2,17.92,17.92,15.96,15.96,3.89,3.89,3.46,3.46
IT_1628-0142776,0.00198,0.00144,-0.3511,1.0724,0.00151,0.0014,-0.00128,0.00149,14.75,345,1.275,530472,527514,531635,528860,1119,1114,1052,1047,1215.5,1202.6,1214.3,1197.7,15.58,15.58,14.02,14.02,3.73,3.73,3.36,3.36
IT_1625-0144231,0.01991,0.00166,-0.437,0.0419,0.01278,0.00164,-0.01527,0.00167,14.91,405,1.313,504065,487408,485654,472350,1140,1205,1103,1119,1342.3,1627.5,1432.3,1527.4,15.57,15.57,14.53,14.53,3.61,3.61,3.37,3.37
IT_1622-0144719,0.01391,0.00107,-0.3942,0.0386,0.0098,0.00099,-0.00986,0.00114,14.66,636,1.253,1184141,1157494,1222593,1196198,1881,1886,1722,1679,2537.8,2586.1,2648.8,2462.9,19.12,19.12,16.34,16.34,4.82,4.82,4.12,4.12
